source_id,source_type,target_id,target_type,type,severity,frequency,efficacy,first_line,interaction_type,description
DIS_00001,Disease,SYM_010,Symptom,HAS_SYMPTOM,mild,constant,,,,
SYM_010,Symptom,DIS_00001,Disease,CAUSED_BY,,,,,,
DIS_00001,Disease,SYM_029,Symptom,HAS_SYMPTOM,mild,intermittent,,,,
SYM_029,Symptom,DIS_00001,Disease,CAUSED_BY,,,,,,
DIS_00001,Disease,SYM_028,Symptom,HAS_SYMPTOM,severe,constant,,,,
SYM_028,Symptom,DIS_00001,Disease,CAUSED_BY,,,,,,
DIS_00001,Disease,SYM_010,Symptom,HAS_SYMPTOM,moderate,persistent,,,,
SYM_010,Symptom,DIS_00001,Disease,CAUSED_BY,,,,,,
DIS_00001,Disease,DRG_0061,drug,TREATED_BY,,,high,False,,
DIS_00002,Disease,SYM_006,Symptom,HAS_SYMPTOM,life-threatening,constant,,,,
SYM_006,Symptom,DIS_00002,Disease,CAUSED_BY,,,,,,
DIS_00002,Disease,SYM_045,Symptom,HAS_SYMPTOM,moderate,intermittent,,,,
SYM_045,Symptom,DIS_00002,Disease,CAUSED_BY,,,,,,
DIS_00002,Disease,SYM_031,Symptom,HAS_SYMPTOM,moderate,constant,,,,
SYM_031,Symptom,DIS_00002,Disease,CAUSED_BY,,,,,,
DIS_00002,Disease,SYM_026,Symptom,HAS_SYMPTOM,moderate,intermittent,,,,
SYM_026,Symptom,DIS_00002,Disease,CAUSED_BY,,,,,,
DIS_00002,Disease,SYM_016,Symptom,HAS_SYMPTOM,mild,persistent,,,,
SYM_016,Symptom,DIS_00002,Disease,CAUSED_BY,,,,,,
DIS_00002,Disease,DRG_0042,drug,TREATED_BY,,,high,True,,
DIS_00002,Disease,TRT_0001,treatment,TREATED_BY,,,variable,False,,
DIS_00003,Disease,SYM_023,Symptom,HAS_SYMPTOM,moderate,persistent,,,,
SYM_023,Symptom,DIS_00003,Disease,CAUSED_BY,,,,,,
DIS_00003,Disease,SYM_023,Symptom,HAS_SYMPTOM,mild,persistent,,,,
SYM_023,Symptom,DIS_00003,Disease,CAUSED_BY,,,,,,
DIS_00003,Disease,SYM_011,Symptom,HAS_SYMPTOM,severe,constant,,,,
SYM_011,Symptom,DIS_00003,Disease,CAUSED_BY,,,,,,
DIS_00003,Disease,SYM_040,Symptom,HAS_SYMPTOM,moderate,constant,,,,
SYM_040,Symptom,DIS_00003,Disease,CAUSED_BY,,,,,,
DIS_00003,Disease,SYM_003,Symptom,HAS_SYMPTOM,moderate,intermittent,,,,
SYM_003,Symptom,DIS_00003,Disease,CAUSED_BY,,,,,,
DIS_00003,Disease,DRG_0048,drug,TREATED_BY,,,moderate,True,,
DIS_00003,Disease,DRG_0015,drug,TREATED_BY,,,high,True,,
DIS_00003,Disease,DRG_0080,drug,TREATED_BY,,,moderate,False,,
DIS_00004,Disease,SYM_022,Symptom,HAS_SYMPTOM,mild,persistent,,,,
SYM_022,Symptom,DIS_00004,Disease,CAUSED_BY,,,,,,
DIS_00004,Disease,SYM_029,Symptom,HAS_SYMPTOM,life-threatening,occasional,,,,
SYM_029,Symptom,DIS_00004,Disease,CAUSED_BY,,,,,,
DIS_00004,Disease,SYM_022,Symptom,HAS_SYMPTOM,moderate,intermittent,,,,
SYM_022,Symptom,DIS_00004,Disease,CAUSED_BY,,,,,,
DIS_00004,Disease,DRG_0070,drug,TREATED_BY,,,low,False,,
DIS_00005,Disease,SYM_045,Symptom,HAS_SYMPTOM,mild,constant,,,,
SYM_045,Symptom,DIS_00005,Disease,CAUSED_BY,,,,,,
DIS_00005,Disease,SYM_038,Symptom,HAS_SYMPTOM,mild,persistent,,,,
SYM_038,Symptom,DIS_00005,Disease,CAUSED_BY,,,,,,
DIS_00005,Disease,SYM_011,Symptom,HAS_SYMPTOM,mild,persistent,,,,
SYM_011,Symptom,DIS_00005,Disease,CAUSED_BY,,,,,,
DIS_00005,Disease,SYM_013,Symptom,HAS_SYMPTOM,severe,occasional,,,,
